Band1_wl,Band1_resp,Band2_wl,Band2_resp,Band3_wl,Band3_resp,Band4_wl,Band4_resp,Band5_wl,Band5_resp,Band6_wl,Band6_resp,Band7_wl,Band7_resp,Band8_wl,Band8_resp,Band9_wl,Band9_resp,Band10_wl,Band10_resp,Band11_wl,Band11_resp,Band12_wl,Band12_resp,Band13_wl,Band13_resp,Band14_wl,Band14_resp,Band15_wl,Band15_resp,Band16_wl,Band16_resp,Band17_wl,Band17_resp,Band18_wl,Band18_resp,Badn19_wl,Band19_resp,Band20_wl,Band20_resp,Band21_wl,Band21_resp
387.74646,0.000000056682946,402.53244,0.000000085526544,433.58860,0.000000062743040,481.06805,0.000000048377753,501.05316,0.000000043983597,551.04926,0.000000041540634,611.02014,0.000000036066480,655.86650,0.000000030045754,665.87354,0.000000029082576,673.41300,0.000000028171906,699.72680,0.000000023777641,746.04865,0.000000016531630,756.09530,0.000000017416665,758.59015,0.000000015021090,762.30133,0.000000016383167,767.31720,0.000000013091007,851.19990,0.000000009185512,874.98070,0.000000010217581,889.99950,0.000000012102241,925.02246,0.000000022874888,995.07007,0.000000216609420
387.86456,0.000000109052440,402.62690,0.000000145390710,433.68335,0.000000108546940,481.16140,0.000000084829445,501.14730,0.000000077270550,551.14320,0.000000073238220,611.11440,0.000000063722915,655.96185,0.000000053402840,665.95490,0.000000048053940,673.49480,0.000000046638682,699.81866,0.000000042740115,746.12897,0.000000027878045,756.15485,0.000000025069765,758.65533,0.000000022479108,762.35474,0.000000023580686,767.43320,0.000000028304097,851.34485,0.000000023954136,875.07650,0.000000019071628,890.09300,0.000000022445048,925.16900,0.000000056654110,995.31510,0.000000798209840
387.98267,0.000000206901430,402.72083,0.000000244934540,433.77798,0.000000186012330,481.25623,0.000000147296230,501.24216,0.000000134428380,551.23680,0.000000127868960,611.20917,0.000000111507600,656.05597,0.000000094008435,666.03490,0.000000078823064,673.57940,0.000000076645260,699.91345,0.000000076073160,746.21545,0.000000046652920,756.21313,0.000000035952183,758.72000,0.000000033488504,762.41070,0.000000033814930,767.55725,0.000000060192804,851.49170,0.000000060851750,875.16693,0.000000035201758,890.18634,0.000000041166874,925.31270,0.000000136830210,995.56050,0.000002764767500
388.10077,0.000000387126700,402.81482,0.000000408933570,433.87076,0.000000315756900,481.35130,0.000000253278960,501.33640,0.000000231600740,551.33185,0.000000221092630,611.30260,0.000000193261910,656.14905,0.000000163909380,666.11930,0.000000128355040,673.65850,0.000000125037910,700.00745,0.000000134080720,746.29420,0.000000077477010,756.26830,0.000000051367610,758.78143,0.000000049665612,762.46960,0.000000048312350,767.67220,0.000000125909850,851.63275,0.000000150601990,875.26410,0.000000064252960,890.28217,0.000000074671810,925.45530,0.000000322266370,995.80570,0.000008998499000
388.21887,0.000000714368400,402.90775,0.000000676637170,433.96475,0.000000530962550,481.44525,0.000000431309930,501.42987,0.000000395169760,551.42633,0.000000378603800,611.39703,0.000000331768400,656.24316,0.000000283066380,666.20026,0.000000207499270,673.74050,0.000000202499020,700.10220,0.000000234018930,746.37445,0.000000127687580,756.32270,0.000000073121630,758.84076,0.000000073326260,762.52893,0.000000068771110,767.79755,0.000000259058820,851.78140,0.000000363169960,875.35800,0.000000115979850,890.37506,0.000000133953420,925.60280,0.000000740175040,996.05115,0.000027513320000
388.33710,0.000001300147100,403.00217,0.000001109611700,434.05954,0.000000884486100,481.53854,0.000000727419600,501.52390,0.000000667797600,551.52057,0.000000642124400,611.49110,0.000000564139300,656.33905,0.000000484210830,666.28020,0.000000333021630,673.82450,0.000000325564260,700.19780,0.000000404478210,746.46030,0.000000208839840,756.37940,0.000000103704174,758.90600,0.000000107773910,762.58136,0.000000097533330,767.91080,0.000000524292260,851.92060,0.000000853438450,875.45130,0.000000207036960,890.47015,0.000000237658440,925.74554,0.000001657907400,996.29626,0.000079015440000
388.45544,0.000002333940500,403.09616,0.000001803494800,434.15424,0.000001459670100,481.63315,0.000001215097400,501.61877,0.000001117761800,551.61410,0.000001078699800,611.58450,0.000000950209400,656.43260,0.000000820454500,666.36490,0.000000530625900,673.90430,0.000000519625800,700.28864,0.000000692323600,746.54000,0.000000338978280,756.43994,0.000000146535530,758.97070,0.000000157694640,762.63550,0.000000137817180,768.03674,0.000001043745300,852.06866,0.000001954725100,875.54736,0.000000365515350,890.56400,0.000000417028700,925.89250,0.000003621767500,996.54110,0.000213172900000
388.57376,0.000004132801700,403.19000,0.000002905396300,434.24710,0.000002386594100,481.72833,0.000002010468700,501.71295,0.000001853212400,551.70886,0.000001794961000,611.67990,0.000001585436800,656.52590,0.000001377094600,666.44574,0.000000839412100,673.98615,0.000000823365000,700.38490,0.000001173551300,746.61980,0.000000546047100,756.49506,0.000000206294260,759.03217,0.000000229706730,762.69390,0.000000194023880,768.14970,0.000002043987500,852.21320,0.000004364457000,875.63820,0.000000638220100,890.65796,0.000000723782140,926.03500,0.000007717162000,996.78610,0.000540603650000
388.69214,0.000007219293400,403.28287,0.000004639428400,434.34100,0.000003866262400,481.82236,0.000003295134300,501.80637,0.000003043718400,551.80360,0.000002958760400,611.77234,0.000002620567800,656.62036,0.000002289692700,666.52540,0.000001318370900,674.06960,0.000001295234900,700.48114,0.000001970082600,746.70510,0.000000872955470,756.55050,0.000000289354720,759.09150,0.000000333108940,762.75415,0.000000272152560,768.27570,0.000003937709000,852.35657,0.000009501425000,875.73500,0.000001102209800,890.75354,0.000001242490300,926.18140,0.000016041278000,997.03080,0.001290752600000
388.81040,0.000012441794000,403.37732,0.000007343722000,434.43582,0.000006206177000,481.91562,0.000005350222600,501.90050,0.000004952434000,551.89760,0.000004831641500,611.86633,0.000004291190600,656.71564,0.000003771437600,666.61060,0.000002055833900,674.15015,0.000002022866700,700.57320,0.000003275412800,746.78580,0.000001385046000,756.60470,0.000000404366380,759.15674,0.000000480902540,762.80870,0.000000380345090,768.38965,0.000007463837000,852.50433,0.000020172612000,875.83060,0.000001882804600,890.84710,0.000002109806700,926.32620,0.000032535278000,997.27570,0.002910477600000
388.92886,0.000021157406000,403.47125,0.000011523602000,434.53036,0.000009872121000,482.01007,0.000008606512000,501.99536,0.000007983674000,551.99120,0.000007816974000,611.96155,0.000006961744000,656.81024,0.000006154211000,666.69104,0.000003182962200,674.23180,0.000003136586900,700.66815,0.000005393336300,746.86510,0.000002180980800,756.66473,0.000000563018830,759.22144,0.000000691174250,762.86237,0.000000529604560,768.51434,0.000013920760000,852.64450,0.000041778770000,875.92130,0.000003181390400,890.94070,0.000003543863800,926.46810,0.000064406990000,997.52040,0.006229165000000
389.04724,0.000035505287000,403.56516,0.000017927076000,434.62332,0.000015562846000,482.10535,0.000013717561000,502.08954,0.000012752412000,552.08606,0.000012530654000,612.05505,0.000011190152000,656.90300,0.000009949153000,666.77075,0.000004893022400,674.31480,0.000004828622000,700.76150,0.000008795673000,746.94965,0.000003408480300,756.72160,0.000000781044430,759.28284,0.000000988968000,762.91925,0.000000734743760,768.62933,0.000025547455000,852.79300,0.000084428226000,876.01840,0.000005317741000,891.03625,0.000005888738500,926.61540,0.000124490340000,997.76490,0.012740224000000
389.16580,0.000058808830000,403.65817,0.000027651260000,434.71720,0.000024316365000,482.19950,0.000021665022000,502.18300,0.000020184820000,552.18070,0.000019903593000,612.14940,0.000017821900000,656.99690,0.000015935557000,666.85626,0.000007468542000,674.39600,0.000007380214400,700.85670,0.000014207338000,747.03150,0.000005286831300,756.77740,0.000001079529600,759.34216,0.000001408774700,762.97810,0.000001015625700,768.75260,0.000046134410000,852.93380,0.000166525260000,876.11200,0.000008793479500,891.12900,0.000009680605000,926.75890,0.000235052870000,998.00960,0.025072938000000
389.28440,0.000096158690000,403.75253,0.000042290256000,434.81195,0.000037660262000,482.29270,0.000033908847000,502.27707,0.000031661900000,552.27490,0.000031328740000,612.24330,0.000028125190000,657.09300,0.000025288984000,666.93620,0.000011319228000,674.47730,0.000011199742000,700.95245,0.000022730059000,747.11035,0.000008138845000,756.83093,0.000001486625400,759.40735,0.000001997877700,763.03660,0.000001398765700,768.86920,0.000081980230000,853.08057,0.000320670520000,876.20570,0.000014386320000,891.22430,0.000015745423000,926.90550,0.000433774500000,998.25400,0.047665462000000
389.40317,0.000155243050000,403.84665,0.000064139750000,434.90668,0.000057821067000,482.38705,0.000052598647000,502.37190,0.000049222550000,552.36847,0.000048869613000,612.33650,0.000043982680000,657.18677,0.000039764473000,667.01624,0.000017034460000,674.56006,0.000016874925000,701.04346,0.000036020036000,747.19430,0.000012435677500,756.88910,0.000002039755600,759.47217,0.000002820763500,763.08910,0.000001919432200,768.99100,0.000143357260000,853.22560,0.000603035300000,876.30170,0.000023287868000,891.31820,0.000025340227000,927.04850,0.000782897460000,998.49835,0.087324160000000
389.52197,0.000247511260000,403.94030,0.000096475895000,434.99954,0.000088014094000,482.48233,0.000080869000000,502.46622,0.000075847740000,552.46313,0.000075552120000,612.43225,0.000068160865000,657.27960,0.000061954970000,667.10180,0.000025455423000,674.64185,0.000025245577000,701.13930,0.000056540124000,747.27716,0.000018859166000,756.94920,0.000002788472000,759.53345,0.000003964954000,763.14390,0.000002624330600,769.10900,0.000246705920000,853.36830,0.001107720700000,876.39200,0.000037302438000,891.41230,0.000040356380000,927.19310,0.001382887600000,998.74280,0.152704210000000
389.64044,0.000389781640000,404.03342,0.000143932920000,435.09338,0.000132838850000,482.57660,0.000123244860000,502.55960,0.000115851420000,552.55780,0.000115769530000,612.52440,0.000104682280000,657.37415,0.000095650950000,667.18134,0.000037773210000,674.72280,0.000037501544000,701.23550,0.000087912990000,747.35590,0.000028387582000,757.00415,0.000003798117200,759.59280,0.000005548638000,763.20240,0.000003575059000,769.22930,0.000417844700000,853.51660,0.001987860000000,876.48914,0.000059130336000,891.50745,0.000063606490000,927.33923,0.002392219400000,998.98730,0.251335200000000
389.75845,0.000606408700000,404.12787,0.000213009500000,435.18810,0.000198813970000,482.66983,0.000186193680000,502.65363,0.000175416120000,552.65216,0.000175833590000,612.61860,0.000159337490000,657.46940,0.000146336230000,667.26180,0.000055660777000,674.80520,0.000055314930000,701.32776,0.000135408220000,747.43884,0.000042412690000,757.05920,0.000005154481600,759.65810,0.000007730565000,763.26276,0.000004852551700,769.34863,0.000696544500000,853.65600,0.003485171400000,876.58480,0.000092767280000,891.60126,0.000099226270000,927.48175,0.004055094000000,999.23126,0.383900640000000
389.87665,0.000932143900000,404.22190,0.000312737570000,435.28290,0.000295092120000,482.76413,0.000278866000000,502.74844,0.000263309780000,552.74567,0.000264718580000,612.71380,0.000240370240000,657.56440,0.000221857680000,667.34730,0.000081448710000,674.88776,0.000081017230000,701.42260,0.000206607900000,747.52295,0.000062897300000,757.11430,0.000006969770800,759.72284,0.000010723088000,763.31630,0.000006562643600,769.46826,0.001142868400000,853.80470,0.005968916000000,876.67596,0.000144056340000,891.69464,0.000153228060000,927.62870,0.006738572000000,999.47534,0.538669170000000
389.99480,0.001415839800000,404.31543,0.000455563330000,435.37592,0.000434396200000,482.85940,0.000414073350000,502.84286,0.000391838840000,552.84015,0.000395050360000,612.80740,0.000359396620000,657.65704,0.000333326230000,667.42660,0.000118358590000,674.96840,0.000117831770000,701.51575,0.000312298450000,747.60144,0.000092586190000,757.17460,0.000009390124000,759.78410,0.000014808558000,763.37020,0.000008843263000,769.58887,0.001845680000000,853.94670,0.009983304000000,876.77264,0.000221446200000,891.79050,0.000234256630000,927.77185,0.010978915000000,999.71950,0.691822230000000
390.11295,0.002125132000000,404.40866,0.000658481900000,435.46960,0.000634249200000,482.95380,0.000609566340000,502.93625,0.000578092760000,552.93500,0.000584399200000,612.90170,0.000532603940000,657.75050,0.000496298950000,667.50740,0.000170806410000,675.05035,0.000170179500000,701.61120,0.000467652050000,747.68370,0.000135284540000,757.23065,0.000012605049000,759.84344,0.000020360760000,763.42740,0.000011873359000,769.70720,0.002933678500000,854.09260,0.016298482000000,876.86580,0.000337015980000,891.88293,0.000354600400000,927.91810,0.017534407000000,999.96295,0.817205600000000
390.23114,0.003153857000000,404.50293,0.000944488800000,435.56436,0.000918534200000,483.04700,0.000889659800000,503.03027,0.000845537060000,553.02936,0.000856934230000,612.99554,0.000782295250000,657.84686,0.000732311900000,667.59296,0.000244796540000,675.13367,0.000244073580000,701.70680,0.000693767330000,747.76870,0.000196221140000,757.28640,0.000016859392000,759.90870,0.000027872000000,763.48670,0.000015884149000,769.82886,0.004589080300000,854.23840,0.025954890000000,876.96000,0.000507835000000,891.97850,0.000531543570000,928.06195,0.027434940000000,1000.20510,0.900584700000000
390.34924,0.004630767700000,404.59717,0.001344409200000,435.65915,0.001319463700000,483.14114,0.001287293900000,503.12506,0.001226022700000,553.12286,0.001245514700000,613.08880,0.001138844200000,657.94073,0.001070844200000,667.67194,0.000348426520000,675.21400,0.000347624100000,701.79816,0.001019633800000,747.84686,0.000282519820000,757.33984,0.000022468039000,759.97350,0.000037987240000,763.54425,0.000021173170000,769.94586,0.007063626300000,854.38007,0.040283170000000,877.05580,0.000757748840000,892.07214,0.000789116700000,928.20470,0.042012140000000,1000.44900,0.946649900000000
390.46747,0.006724167600000,404.69064,0.001899157000000,435.75208,0.001880005400000,483.23636,0.001846537800000,503.21950,0.001762260900000,553.21720,0.001794273000000,613.18475,0.001643122000000,658.03350,0.001551742700000,667.75310,0.000492518650000,675.29553,0.000491675500000,701.89343,0.001484609700000,747.92840,0.000403798330000,757.39905,0.000029834217000,760.03480,0.000051547322000,763.59705,0.000028121780000,770.06866,0.010696110000000,854.52900,0.060874580000000,877.14594,0.001119684800000,892.16650,0.001160373700000,928.35220,0.062882945000000,1000.69460,0.971577200000000
390.58582,0.009651628000000,404.78378,0.002662458200000,435.84573,0.002656786000000,483.33090,0.002625620000000,503.31287,0.002510780200000,553.31230,0.002561705400000,613.27655,0.002349430500000,658.12790,0.002228211000000,667.83844,0.000691424600000,675.37960,0.000690606360000,701.98980,0.002141435600000,748.01390,0.000572928100000,757.45844,0.000039472570000,760.09410,0.000069643270000,763.65230,0.000037216578000,770.18460,0.015929235000000,854.66780,0.089475450000000,877.24360,0.001638563100000,892.26160,0.001690247900000,928.49536,0.091855890000000,1000.94010,0.988020840000000
390.70400,0.013686552000000,404.87817,0.003704081800000,435.94052,0.003723536900000,483.42420,0.003700424000000,503.40686,0.003545401900000,553.40656,0.003624277700000,613.37070,0.003328936900000,658.22310,0.003170345400000,667.91736,0.000963994700000,675.45950,0.000963308150000,702.08220,0.003059890000000,748.09230,0.000806977600000,757.51350,0.000052036576000,760.15930,0.000093682540000,763.71090,0.000049076370000,770.30860,0.023322680000000,854.81630,0.127782580000000,877.33905,0.002374904700000,892.35535,0.002439105400000,928.64185,0.130730350000000,1001.18555,0.997605800000000
390.82217,0.019161938000000,404.97244,0.005113557400000,436.03534,0.005174938000000,483.51825,0.005168430000000,503.50162,0.004961129300000,553.50000,0.005080512000000,613.46606,0.004673645400000,658.31836,0.004469207500000,667.99896,0.001334775600000,675.54040,0.001334378100000,702.17737,0.004330973000000,748.17320,0.001128366800000,757.56780,0.000068353045000,760.22437,0.000125473280000,763.77170,0.000064483720000,770.42346,0.033558056000000,854.95996,0.177138220000000,877.43030,0.003409195000000,892.44900,0.003487060000000,928.78460,0.180977610000000,1001.43080,0.997106100000000
390.94058,0.026457481000000,405.06586,0.007004221000000,436.12830,0.007130832000000,483.61343,0.007152946700000,503.59610,0.006878352700000,553.59436,0.007055347300000,613.55960,0.006500660400000,658.41095,0.006241346200000,668.08410,0.001835426200000,675.62537,0.001835542300000,702.26980,0.006071641600000,748.25930,0.001566271400000,757.62390,0.000089463220000,760.28550,0.000167324690000,763.82420,0.000084425790000,770.54890,0.047429405000000,855.10394,0.238158350000000,877.52680,0.004847000400000,892.54443,0.004939023400000,928.93050,0.243334490000000,1001.67615,0.988646300000000
391.05896,0.035992946000000,405.15910,0.009517524000000,436.22202,0.009740496000000,483.70795,0.009807356000000,503.68942,0.009447029000000,553.68930,0.009704591000000,613.65390,0.008956656000000,658.50415,0.008633474000000,668.16284,0.002506375000000,675.70470,0.002507322000000,702.36570,0.008429820000000,748.33790,0.002158280700000,757.68427,0.000116673844000,760.34485,0.000222170200000,763.87800,0.000110141320000,770.66223,0.065814010000000,855.25116,0.310359570000000,877.61980,0.006824748000000,892.63690,0.006930432300000,929.07550,0.317380160000000,1001.92163,0.980474900000000
391.17740,0.048213470000000,405.25348,0.012827292000000,436.31668,0.013186749000000,483.80136,0.013318912000000,503.78345,0.012850733500000,553.78380,0.013219020000000,613.74774,0.012222151000000,658.60077,0.011827311000000,668.24450,0.003398732500000,675.78540,0.003400934200000,702.46124,0.011589442000000,748.41815,0.002952324500000,757.73990,0.000151616600000,760.41010,0.000293721440000,763.93560,0.000143180150000,770.78766,0.089616380000000,855.39180,0.391903670000000,877.71450,0.009515908000000,892.73260,0.009633490000000,929.21783,0.401222880000000,1002.16705,0.978026100000000
391.29596,0.063552560000000,405.34772,0.017143263000000,436.41153,0.017689215000000,483.89530,0.017912023000000,503.87820,0.017309561000000,553.87714,0.017827628000000,613.84100,0.016515084000000,658.69464,0.016043276000000,668.32910,0.004576394300000,675.87110,0.004580436000000,702.55304,0.015774937000000,748.50480,0.004008880400000,757.79530,0.000196320100000,760.47510,0.000386645640000,763.99520,0.000185471400000,770.90080,0.119684690000000,855.54065,0.479563830000000,877.80994,0.013137232500000,892.82623,0.013263465000000,929.36500,0.491430220000000,1002.41230,0.977876900000000
391.41464,0.082392380000000,405.44100,0.022713669000000,436.50476,0.023506267000000,483.99050,0.023849534000000,503.97287,0.023082014000000,553.97144,0.023799352000000,613.93710,0.022093078000000,658.78730,0.021543741000000,668.40826,0.006118396000000,675.95040,0.006125007800000,702.64790,0.021254584000000,748.58325,0.005403389700000,757.84950,0.000253299750000,760.53613,0.000506780200000,764.05190,0.000239404560000,771.02650,0.156701180000000,855.68080,0.568999050000000,877.90020,0.017954410000000,892.92065,0.018084398000000,929.50850,0.583316800000000,1002.65765,0.972977400000000
391.53340,0.104987785000000,405.53427,0.029826138000000,436.59818,0.030934887000000,484.08514,0.031432133000000,504.06616,0.030464327000000,554.06647,0.031442486000000,614.02860,0.029253822000000,658.88170,0.028633390000000,668.49036,0.008121218000000,676.03076,0.008131407000000,702.74414,0.028341819000000,748.66360,0.007228834000000,757.90894,0.000325653900000,760.59540,0.000661392870000,764.10486,0.000307931200000,771.14075,0.201054160000000,855.82780,0.655355200000000,877.99774,0.024285981000000,893.01560,0.024413312000000,929.65480,0.671606060000000,1002.90270,0.962386700000000
